locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIEOCHKN_01024	CDS	399	dhaM-2	2.7.1.121	COG3412	PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM
EIEOCHKN_01025	CDS	1140	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
EIEOCHKN_01026	CDS	987	rhaR_3			HTH-type transcriptional activator RhaR
EIEOCHKN_01027	CDS	1407	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
EIEOCHKN_01028	CDS	1620	gcvH			Glycine cleavage system H protein
EIEOCHKN_01029	CDS	978	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
EIEOCHKN_01030	CDS	1116	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
EIEOCHKN_01031	CDS	2613	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
EIEOCHKN_01032	CDS	582				Potassium channel
EIEOCHKN_01033	CDS	1614	malL_2	3.2.1.10	COG0366	Oligo-1,6-glucosidase
EIEOCHKN_01034	CDS	1626	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
EIEOCHKN_01035	CDS	1767	bbmA	3.2.1.-	COG0366	Intracellular maltogenic amylase
EIEOCHKN_01036	CDS	1251	cycB		COG2182	Cyclodextrin-binding protein
EIEOCHKN_01037	CDS	1344				hypothetical protein
EIEOCHKN_01038	CDS	864	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
EIEOCHKN_01039	CDS	489	slyA_1			Transcriptional regulator SlyA
EIEOCHKN_01040	CDS	2340	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_01041	CDS	501				hypothetical protein
EIEOCHKN_01042	CDS	462				hypothetical protein
EIEOCHKN_01043	CDS	915	trxB	1.8.1.9	COG0492	Thioredoxin reductase
EIEOCHKN_01044	CDS	432				hypothetical protein
EIEOCHKN_01045	CDS	705	natR		COG3279	Transcriptional regulatory protein NatR
EIEOCHKN_01046	CDS	1311				hypothetical protein
EIEOCHKN_01047	CDS	714				hypothetical protein
EIEOCHKN_01048	CDS	714	bcrA			Bacitracin transport ATP-binding protein BcrA
EIEOCHKN_01049	CDS	759				hypothetical protein
EIEOCHKN_01050	CDS	945	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_01051	CDS	873				hypothetical protein
EIEOCHKN_01052	CDS	855				hypothetical protein
EIEOCHKN_01053	CDS	708	nagR_2		COG2188	HTH-type transcriptional repressor NagR
EIEOCHKN_01054	CDS	4248				hypothetical protein
EIEOCHKN_01055	CDS	609	fabR_2			HTH-type transcriptional repressor FabR
EIEOCHKN_01056	CDS	180				hypothetical protein
EIEOCHKN_01057	tRNA	74				tRNA-Gln(ttg)
EIEOCHKN_01058	tRNA	83				tRNA-Tyr(gta)
EIEOCHKN_01059	CDS	234				hypothetical protein
EIEOCHKN_01060	CDS	1470	yqiK		COG2268	Inner membrane protein YqiK
EIEOCHKN_01061	CDS	525	yuaF			putative membrane protein YuaF
EIEOCHKN_01062	CDS	2637				hypothetical protein
EIEOCHKN_01063	CDS	702			COG1136	putative ABC transporter ATP-binding protein
EIEOCHKN_01064	CDS	660				hypothetical protein
EIEOCHKN_01065	CDS	387				hypothetical protein
EIEOCHKN_01066	CDS	1149	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
EIEOCHKN_01067	CDS	828				hypothetical protein
EIEOCHKN_01068	CDS	177				hypothetical protein
EIEOCHKN_01069	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EIEOCHKN_01070	tRNA	87				tRNA-Leu(gag)
EIEOCHKN_01071	CDS	486				Protein SprT-like protein
EIEOCHKN_01072	CDS	2193	yhgF		COG2183	Protein YhgF
EIEOCHKN_01073	CDS	735	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
EIEOCHKN_01074	CDS	1170	dnaJ		COG0484	Chaperone protein DnaJ
EIEOCHKN_01075	CDS	1830	dnaK		COG0443	Chaperone protein DnaK
EIEOCHKN_01076	CDS	540	grpE		COG0576	Protein GrpE
EIEOCHKN_01077	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
EIEOCHKN_01078	CDS	1185	hemW		COG0635	Heme chaperone HemW
EIEOCHKN_01079	CDS	2661	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
EIEOCHKN_01080	CDS	876	cynR_2			HTH-type transcriptional regulator CynR
EIEOCHKN_01081	CDS	888	cynR_3			HTH-type transcriptional regulator CynR
EIEOCHKN_01082	CDS	1149	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
EIEOCHKN_01083	CDS	1176	ftsW_2	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
EIEOCHKN_01084	CDS	261				hypothetical protein
EIEOCHKN_01085	CDS	342				hypothetical protein
EIEOCHKN_01086	CDS	324				hypothetical protein
EIEOCHKN_01087	CDS	597				hypothetical protein
EIEOCHKN_01088	CDS	951	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
EIEOCHKN_01089	CDS	921	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
EIEOCHKN_01090	CDS	1098				hypothetical protein
EIEOCHKN_01091	CDS	396				hypothetical protein
EIEOCHKN_01092	CDS	1770				hypothetical protein
EIEOCHKN_01093	CDS	582				hypothetical protein
EIEOCHKN_01094	CDS	855				hypothetical protein
EIEOCHKN_01095	CDS	927				hypothetical protein
EIEOCHKN_01096	CDS	2934				hypothetical protein
EIEOCHKN_01097	CDS	369				hypothetical protein
EIEOCHKN_01098	CDS	360				hypothetical protein
EIEOCHKN_01099	CDS	513				hypothetical protein
EIEOCHKN_01100	CDS	393				hypothetical protein
EIEOCHKN_01101	CDS	408				hypothetical protein
EIEOCHKN_01102	CDS	372				hypothetical protein
EIEOCHKN_01103	CDS	93				hypothetical protein
EIEOCHKN_01104	CDS	843				hypothetical protein
EIEOCHKN_01105	CDS	771				hypothetical protein
EIEOCHKN_01106	CDS	135				hypothetical protein
EIEOCHKN_01107	CDS	483				hypothetical protein
EIEOCHKN_01108	CDS	474				hypothetical protein
EIEOCHKN_01109	CDS	153				hypothetical protein
EIEOCHKN_01110	CDS	351	rbfA			Ribosome-binding factor A
EIEOCHKN_01111	CDS	2397	infB			Translation initiation factor IF-2
EIEOCHKN_01112	CDS	306	rplGA		COG1358	putative ribosomal protein YlxQ
EIEOCHKN_01113	CDS	300				hypothetical protein
EIEOCHKN_01114	CDS	1200	nusA		COG0195	Transcription termination/antitermination protein NusA
EIEOCHKN_01115	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
EIEOCHKN_01116	CDS	1887				hypothetical protein
EIEOCHKN_01117	CDS	2397	ctpE_2	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
EIEOCHKN_01118	CDS	918	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
EIEOCHKN_01119	CDS	1173	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
EIEOCHKN_01120	CDS	2109	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
EIEOCHKN_01121	CDS	702				hypothetical protein
EIEOCHKN_01122	CDS	552				hypothetical protein
EIEOCHKN_01123	CDS	1470	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EIEOCHKN_01124	CDS	720	srrA_1		COG0745	Transcriptional regulatory protein SrrA
EIEOCHKN_01125	CDS	780				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
EIEOCHKN_01126	CDS	207				hypothetical protein
EIEOCHKN_01127	CDS	759				hypothetical protein
EIEOCHKN_01128	CDS	462				hypothetical protein
EIEOCHKN_01129	CDS	768	btuD_7	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_01130	CDS	888				hypothetical protein
EIEOCHKN_01131	CDS	990				hypothetical protein
EIEOCHKN_01132	CDS	630				hypothetical protein
EIEOCHKN_01133	CDS	108				hypothetical protein
EIEOCHKN_01134	CDS	672				hypothetical protein
EIEOCHKN_01135	CDS	1713	rqcH		COG1293	Rqc2 RqcH
EIEOCHKN_01136	CDS	264				hypothetical protein
EIEOCHKN_01137	CDS	342				hypothetical protein
EIEOCHKN_01138	CDS	459				hypothetical protein
EIEOCHKN_01139	CDS	1050	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
EIEOCHKN_01140	CDS	1434	bglC_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
EIEOCHKN_01141	CDS	714	gmuR		COG2188	HTH-type transcriptional regulator GmuR
EIEOCHKN_01142	CDS	552				hypothetical protein
EIEOCHKN_01143	CDS	966	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
EIEOCHKN_01144	CDS	3276		2.4.1.333	COG3459	1,2-beta-oligoglucan phosphorylase
EIEOCHKN_01145	CDS	2151		3.2.1.-		Beta-xylosidase
EIEOCHKN_01146	CDS	765				hypothetical protein
EIEOCHKN_01147	CDS	918	axeA	3.1.1.41	COG3458	Cephalosporin-C deacetylase
EIEOCHKN_01148	CDS	594				hypothetical protein
EIEOCHKN_01149	CDS	1599				hypothetical protein
EIEOCHKN_01150	CDS	882	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
EIEOCHKN_01151	CDS	912	yteP_2		COG4209	putative multiple-sugar transport system permease YteP
EIEOCHKN_01152	CDS	825	lpxG_1	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
EIEOCHKN_01153	CDS	96				hypothetical protein
EIEOCHKN_01154	CDS	684				hypothetical protein
EIEOCHKN_01155	CDS	1491				hypothetical protein
EIEOCHKN_01156	CDS	1257				hypothetical protein
EIEOCHKN_01157	CDS	609	urdA	1.3.99.33		Urocanate reductase
EIEOCHKN_01158	CDS	936	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
EIEOCHKN_01159	CDS	870				hypothetical protein
EIEOCHKN_01160	CDS	1329	triA	3.5.4.45		Melamine deaminase
EIEOCHKN_01161	CDS	1740	ade	3.5.4.2	COG1001	Adenine deaminase
EIEOCHKN_01162	CDS	1065	spuD		COG0687	Putrescine-binding periplasmic protein SpuD
EIEOCHKN_01163	CDS	1041	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EIEOCHKN_01164	CDS	780	ydcV_2			Inner membrane ABC transporter permease protein YdcV
EIEOCHKN_01165	CDS	837				hypothetical protein
EIEOCHKN_01166	CDS	405				hypothetical protein
EIEOCHKN_01167	CDS	720				hypothetical protein
EIEOCHKN_01168	CDS	1083				hypothetical protein
EIEOCHKN_01169	CDS	705	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
EIEOCHKN_01170	CDS	1653	alsS	2.2.1.6	COG0028	Acetolactate synthase
EIEOCHKN_01171	CDS	912	tagU_3	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EIEOCHKN_01172	CDS	1344	npr_2	1.11.1.1	COG0446	NADH peroxidase
EIEOCHKN_01173	CDS	693	dcuR		COG4565	Transcriptional regulatory protein DcuR
EIEOCHKN_01174	CDS	1551	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
EIEOCHKN_01175	CDS	1326	cimH		COG3493	Citrate/malate transporter
EIEOCHKN_01176	CDS	1170		1.1.1.38		NAD-dependent malic enzyme
EIEOCHKN_01177	CDS	849				hypothetical protein
EIEOCHKN_01178	CDS	306				hypothetical protein
EIEOCHKN_01179	CDS	423	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EIEOCHKN_01180	CDS	270				hypothetical protein
EIEOCHKN_01181	CDS	753				hypothetical protein
EIEOCHKN_01182	CDS	492				hypothetical protein
EIEOCHKN_01183	CDS	867			COG3689	Putative two-component membrane permease complex subunit SMU_746c
EIEOCHKN_01184	CDS	915			COG0701	Putative two-component membrane permease complex subunit SMU_747c
EIEOCHKN_01185	CDS	807	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
EIEOCHKN_01186	CDS	855	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
EIEOCHKN_01187	CDS	1311				hypothetical protein
EIEOCHKN_01188	CDS	1830	walK	2.7.13.3		Sensor histidine kinase WalK
EIEOCHKN_01189	CDS	705	walR_1		COG0745	Transcriptional regulatory protein WalR
EIEOCHKN_01190	CDS	666	aqpZ		COG0580	Aquaporin Z
EIEOCHKN_01191	CDS	861	degV_2		COG1307	Protein DegV
EIEOCHKN_01192	CDS	570				hypothetical protein
EIEOCHKN_01193	CDS	624				hypothetical protein
EIEOCHKN_01194	CDS	771	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
EIEOCHKN_01195	CDS	630				hypothetical protein
EIEOCHKN_01196	CDS	1383				hypothetical protein
EIEOCHKN_01197	CDS	1689	rnj2	3.1.-.-		Ribonuclease J 2
EIEOCHKN_01198	CDS	873	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EIEOCHKN_01199	CDS	1068	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
EIEOCHKN_01200	CDS	459	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
EIEOCHKN_01201	CDS	735	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
EIEOCHKN_01202	CDS	249				hypothetical protein
EIEOCHKN_01203	CDS	879	gmuE	2.7.1.4	COG1940	Putative fructokinase
EIEOCHKN_01204	CDS	213				hypothetical protein
EIEOCHKN_01205	CDS	1065				hypothetical protein
EIEOCHKN_01206	CDS	399	tagD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
EIEOCHKN_01207	CDS	594				hypothetical protein
EIEOCHKN_01208	CDS	747	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
EIEOCHKN_01209	CDS	1113	tagB	2.7.8.44	COG1887	Teichoic acid glycerol-phosphate primase
EIEOCHKN_01210	CDS	270	rpmE2		COG0254	50S ribosomal protein L31 type B
EIEOCHKN_01211	CDS	1293	rho	3.6.4.-	COG1158	Transcription termination factor Rho
EIEOCHKN_01212	CDS	1293	murA1_2	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EIEOCHKN_01213	CDS	870	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
EIEOCHKN_01214	CDS	957				hypothetical protein
EIEOCHKN_01215	CDS	495				hypothetical protein
EIEOCHKN_01216	CDS	684				hypothetical protein
EIEOCHKN_01217	CDS	966	ansA	3.5.1.1	COG0252	putative L-asparaginase
EIEOCHKN_01218	CDS	2382	dinG_2	3.1.-.-		3'-5' exonuclease DinG
EIEOCHKN_01219	CDS	519	grdB	1.21.4.2		Glycine reductase complex component B subunit gamma
EIEOCHKN_01220	CDS	1356	licC_2		COG1455	Lichenan permease IIC component
EIEOCHKN_01221	CDS	330	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
EIEOCHKN_01222	CDS	954		3.5.1.26		N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase
EIEOCHKN_01223	CDS	1299	pepV_1	3.4.13.-		Beta-Ala-Xaa dipeptidase
EIEOCHKN_01224	CDS	765	nagR_3		COG2188	HTH-type transcriptional repressor NagR
EIEOCHKN_01225	CDS	648	nth	4.2.99.18	COG0177	Endonuclease III
EIEOCHKN_01226	CDS	717	dnaD		COG3935	DNA replication protein DnaD
EIEOCHKN_01227	CDS	1497	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
EIEOCHKN_01228	CDS	1164	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
EIEOCHKN_01229	CDS	411	gpsB			Cell cycle protein GpsB
EIEOCHKN_01230	CDS	543				hypothetical protein
EIEOCHKN_01231	CDS	618	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
EIEOCHKN_01232	CDS	2337	ponA		COG0744	Penicillin-binding protein 1A
EIEOCHKN_01233	CDS	1611	pyrG	6.3.4.2	COG0504	CTP synthase
EIEOCHKN_01234	CDS	618	rpoE			DNA-directed RNA polymerase subunit delta
EIEOCHKN_01235	CDS	438				hypothetical protein
EIEOCHKN_01236	CDS	852				hypothetical protein
EIEOCHKN_01237	CDS	1371				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
EIEOCHKN_01238	CDS	813		3.1.3.-		Putative phosphatase
EIEOCHKN_01239	CDS	447	nudC	3.6.1.22		NADH pyrophosphatase
EIEOCHKN_01240	CDS	375	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
EIEOCHKN_01241	CDS	723		2.4.2.-	COG2071	Putative glutamine amidotransferase
EIEOCHKN_01242	CDS	825	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
EIEOCHKN_01243	CDS	363				hypothetical protein
EIEOCHKN_01244	CDS	921	ykuT		COG0668	putative MscS family protein YkuT
EIEOCHKN_01245	CDS	1128		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
EIEOCHKN_01246	CDS	702	dapH_1	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EIEOCHKN_01247	CDS	489	ykuL		COG0517	CBS domain-containing protein YkuL
EIEOCHKN_01248	CDS	711	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
EIEOCHKN_01249	CDS	861	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
EIEOCHKN_01250	CDS	639	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
EIEOCHKN_01251	CDS	300	ulaB	2.7.1.194		Ascorbate-specific PTS system EIIB component
EIEOCHKN_01252	CDS	1488	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
EIEOCHKN_01253	CDS	459				hypothetical protein
EIEOCHKN_01254	CDS	1068	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
EIEOCHKN_01255	CDS	765	glcR		COG1349	HTH-type transcriptional repressor GlcR
EIEOCHKN_01256	CDS	513				hypothetical protein
EIEOCHKN_01257	CDS	1356	rph	2.7.7.56		Ribonuclease PH
EIEOCHKN_01258	CDS	822	murI	5.1.1.3	COG0796	Glutamate racemase
EIEOCHKN_01259	CDS	732	glnQ_1			Glutamine transport ATP-binding protein GlnQ
EIEOCHKN_01260	CDS	828	peb1A		COG0834	Major cell-binding factor
EIEOCHKN_01261	CDS	714	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
EIEOCHKN_01262	CDS	666	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
EIEOCHKN_01263	CDS	2424	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
EIEOCHKN_01264	CDS	1047	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
EIEOCHKN_01265	CDS	345	yodB		COG1733	HTH-type transcriptional regulator YodB
EIEOCHKN_01266	CDS	3795	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
EIEOCHKN_01267	CDS	3591	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
EIEOCHKN_01268	CDS	543	spsB_1	3.4.21.89		Signal peptidase IB
EIEOCHKN_01269	CDS	720	lutC		COG1556	Lactate utilization protein C
EIEOCHKN_01270	CDS	1473	lutB		COG1139	Lactate utilization protein B
EIEOCHKN_01271	CDS	762	lutA		COG0247	Lactate utilization protein A
EIEOCHKN_01272	CDS	306				hypothetical protein
EIEOCHKN_01273	CDS	186				hypothetical protein
EIEOCHKN_01274	CDS	1353	yvbW		COG1113	putative amino acid permease YvbW
EIEOCHKN_01275	CDS	402				hypothetical protein
EIEOCHKN_01276	CDS	735	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EIEOCHKN_01277	CDS	1596	btuD_8	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_01278	CDS	2025				hypothetical protein
EIEOCHKN_01279	CDS	306				hypothetical protein
EIEOCHKN_01280	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
EIEOCHKN_01281	CDS	1371				hypothetical protein
EIEOCHKN_01282	CDS	486				hypothetical protein
EIEOCHKN_01283	CDS	471				hypothetical protein
EIEOCHKN_01284	CDS	1302				hypothetical protein
EIEOCHKN_01285	CDS	399				hypothetical protein
EIEOCHKN_01286	CDS	789				hypothetical protein
EIEOCHKN_01287	CDS	1056				hypothetical protein
EIEOCHKN_01288	CDS	1032				hypothetical protein
EIEOCHKN_01289	CDS	900				hypothetical protein
EIEOCHKN_01290	CDS	4752				hypothetical protein
EIEOCHKN_01291	CDS	348				hypothetical protein
EIEOCHKN_01292	CDS	474				hypothetical protein
EIEOCHKN_01293	CDS	594				hypothetical protein
EIEOCHKN_01294	CDS	420				hypothetical protein
EIEOCHKN_01295	CDS	393				hypothetical protein
EIEOCHKN_01296	CDS	378				hypothetical protein
EIEOCHKN_01297	CDS	282				hypothetical protein
EIEOCHKN_01298	CDS	1182				hypothetical protein
EIEOCHKN_01299	CDS	720	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
EIEOCHKN_01300	CDS	1164				hypothetical protein
EIEOCHKN_01301	CDS	168				hypothetical protein
EIEOCHKN_01302	CDS	168				hypothetical protein
EIEOCHKN_01303	CDS	1683				hypothetical protein
EIEOCHKN_01304	CDS	300				hypothetical protein
EIEOCHKN_01305	CDS	315				hypothetical protein
EIEOCHKN_01306	CDS	255				hypothetical protein
EIEOCHKN_01307	tRNA	72				tRNA-Trp(cca)
EIEOCHKN_01308	CDS	468				hypothetical protein
EIEOCHKN_01309	CDS	237				hypothetical protein
EIEOCHKN_01310	CDS	528				hypothetical protein
EIEOCHKN_01311	CDS	279				hypothetical protein
EIEOCHKN_01312	CDS	351				hypothetical protein
EIEOCHKN_01313	CDS	117				hypothetical protein
EIEOCHKN_01314	CDS	213				hypothetical protein
EIEOCHKN_01315	CDS	198				hypothetical protein
EIEOCHKN_01316	CDS	606				hypothetical protein
EIEOCHKN_01317	CDS	381				hypothetical protein
EIEOCHKN_01318	CDS	471				hypothetical protein
EIEOCHKN_01319	CDS	270				hypothetical protein
EIEOCHKN_01320	CDS	840				hypothetical protein
EIEOCHKN_01321	CDS	780				hypothetical protein
EIEOCHKN_01322	CDS	816				hypothetical protein
EIEOCHKN_01323	CDS	972				hypothetical protein
EIEOCHKN_01324	CDS	108				hypothetical protein
EIEOCHKN_01325	CDS	225				hypothetical protein
EIEOCHKN_01326	CDS	300				hypothetical protein
EIEOCHKN_01327	CDS	180				hypothetical protein
EIEOCHKN_01328	CDS	330				hypothetical protein
EIEOCHKN_01329	CDS	192				hypothetical protein
EIEOCHKN_01330	CDS	339				hypothetical protein
EIEOCHKN_01331	CDS	414				hypothetical protein
EIEOCHKN_01332	CDS	585	lpp			Major outer membrane lipoprotein Lpp
EIEOCHKN_01333	CDS	924				hypothetical protein
EIEOCHKN_01334	CDS	1131	xerC_3			Tyrosine recombinase XerC
EIEOCHKN_01335	CDS	924				hypothetical protein
EIEOCHKN_01336	CDS	513				hypothetical protein
EIEOCHKN_01337	CDS	204				hypothetical protein
EIEOCHKN_01338	CDS	294				hypothetical protein
EIEOCHKN_01339	CDS	855				hypothetical protein
EIEOCHKN_01340	CDS	1884				hypothetical protein
EIEOCHKN_01341	CDS	1431				hypothetical protein
EIEOCHKN_01342	CDS	3312				hypothetical protein
EIEOCHKN_01343	CDS	1422				hypothetical protein
EIEOCHKN_01344	CDS	396	yhaH		COG3152	Inner membrane protein YhaH
EIEOCHKN_01345	CDS	714				hypothetical protein
EIEOCHKN_01346	CDS	447	bltD	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
EIEOCHKN_01347	CDS	243				hypothetical protein
EIEOCHKN_01348	CDS	432				Putative universal stress protein
EIEOCHKN_01349	CDS	306				hypothetical protein
EIEOCHKN_01350	CDS	183				hypothetical protein
EIEOCHKN_01351	CDS	390				hypothetical protein
EIEOCHKN_01352	CDS	1317	dinB_2	2.7.7.7		DNA polymerase IV
EIEOCHKN_01353	CDS	1155	tetA			Tetracycline resistance protein, class B
EIEOCHKN_01354	CDS	441				hypothetical protein
EIEOCHKN_01355	CDS	759	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
EIEOCHKN_01356	CDS	507				hypothetical protein
EIEOCHKN_01357	CDS	264				hypothetical protein
EIEOCHKN_01358	CDS	495	tmk_2	2.7.4.9		Thymidylate kinase
EIEOCHKN_01359	CDS	1005	melR_2		COG1609	HTH-type transcriptional repressor MelR
EIEOCHKN_01360	CDS	1494	galT_2	2.7.7.12		Galactose-1-phosphate uridylyltransferase
EIEOCHKN_01361	CDS	273	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
EIEOCHKN_01362	tRNA	74				tRNA-Arg(acg)
EIEOCHKN_01363	tRNA	74				tRNA-Pro(tgg)
EIEOCHKN_01364	tRNA	75				tRNA-Ala(tgc)
EIEOCHKN_01365	tRNA	76				tRNA-Met(cat)
EIEOCHKN_01366	tRNA	76				tRNA-Met(cat)
EIEOCHKN_01367	tRNA	90				tRNA-Ser(tga)
EIEOCHKN_01368	tRNA	76				tRNA-Met(cat)
EIEOCHKN_01369	tRNA	77				tRNA-Asp(gtc)
EIEOCHKN_01370	tRNA	71				tRNA-Gly(tcc)
EIEOCHKN_01371	tRNA	76				tRNA-Ile(gat)
EIEOCHKN_01372	tRNA	74				tRNA-Glu(ttc)
EIEOCHKN_01373	tRNA	90				tRNA-Ser(tga)
EIEOCHKN_01374	tRNA	76				tRNA-Met(cat)
EIEOCHKN_01375	tRNA	76				tRNA-Asp(gtc)
EIEOCHKN_01376	tRNA	78				tRNA-Phe(gaa)
EIEOCHKN_01377	tRNA	71				tRNA-Gly(tcc)
EIEOCHKN_01378	tRNA	74				tRNA-Ile(gat)
EIEOCHKN_01379	tRNA	90				tRNA-Ser(gct)
EIEOCHKN_01380	tRNA	74				tRNA-Glu(ttc)
EIEOCHKN_01381	CDS	843	licT_2		COG3711	Transcription antiterminator LicT
EIEOCHKN_01382	CDS	1896	bglF_4		COG1263	PTS system beta-glucoside-specific EIIBCA component
EIEOCHKN_01383	CDS	1431	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
EIEOCHKN_01384	CDS	1467	bglA_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglA
EIEOCHKN_01385	CDS	819	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EIEOCHKN_01386	CDS	744				hypothetical protein
EIEOCHKN_01387	CDS	567	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
EIEOCHKN_01388	CDS	492	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
EIEOCHKN_01389	CDS	513	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EIEOCHKN_01390	CDS	675	yedJ		COG1418	putative protein YedJ
EIEOCHKN_01391	CDS	936	zitB			Zinc transporter ZitB
EIEOCHKN_01392	CDS	399				hypothetical protein
EIEOCHKN_01393	CDS	753	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EIEOCHKN_01394	CDS	1239	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EIEOCHKN_01395	CDS	435	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
